Time (sec),Mach Number,Weight (kg),Stability Margin (cal),Altitude (m)
1.639999,0.9145508,20.20386599,2.576164,243.0766894
1.649999,0.9207854,20.17930396,2.554219,246.1670261
1.659999,0.9270223,20.15473286,2.532265,249.2780892
1.669999,0.9332615,20.13014815,2.5103,252.4098178
1.679999,0.9395061,20.10554984,2.488315,255.5622727
1.689999,0.9457561,20.08094245,2.466307,258.7354541
1.699999,0.9520111,20.056326,2.44428,261.9293923
1.709999,0.9582715,20.03169593,2.42223,265.1440874
1.719999,0.9645369,20.00705679,2.400162,268.3795394
1.729999,0.9708074,19.98240405,2.378072,271.6357788
1.739999,0.9770827,19.95773769,2.355963,274.9128665
1.749999,0.9833632,19.9330668,2.333833,278.2107415
1.759999,0.9896484,19.90837777,2.311684,281.5294344
1.769999,0.9959384,19.88367967,2.289516,284.8690061
1.779999,1.002233,19.85896795,2.26733,288.2293956
1.789999,1.008532,19.83425171,2.245125,291.6106639
1.799999,1.014836,19.80951731,2.222901,295.012811
1.809999,1.021145,19.78477839,2.200657,298.4358674
1.819999,1.027458,19.76002132,2.178396,301.8798331
1.829999,1.033775,19.73525971,2.15612,305.3446776
1.839999,1.040096,19.71047996,2.133827,308.8303704
1.849999,1.046422,19.68569113,2.111514,312.3370944
1.859999,1.052752,19.66089324,2.100856,315.8648496
1.869999,1.059087,19.63608174,2.105337,319.413636
1.879999,1.065429,19.61126116,2.109777,322.9831488
1.889999,1.071777,19.58643152,2.114178,326.5739976
1.899999,1.078133,19.56158826,2.118549,330.1855728
1.909999,1.084494,19.5367314,2.122895,333.8181792
1.919999,1.090863,19.51186547,2.127214,337.4721216
1.929999,1.097238,19.48699046,2.131513,341.1470952
1.939999,1.103619,19.46210185,2.135795,344.8431
1.949998,1.110008,19.43719963,2.140062,348.560136
1.959998,1.116402,19.41228833,2.144312,352.298508
1.969998,1.122803,19.38736797,2.148551,356.0579112
1.979998,1.129211,19.362434,2.152777,359.8386504
1.989998,1.135625,19.33749095,2.156992,363.6404208
1.999998,1.142045,19.3125343,2.161197,367.4635272
2.009999,1.148472,19.28756404,2.165395,371.3079696
2.019999,1.154905,19.26258924,2.169583,375.1734432
2.029999,1.161344,19.2375963,2.173765,379.0602528
2.039999,1.167791,19.21259883,2.177941,382.9683984
2.049999,1.174244,19.18758321,2.182111,386.89788
2.059999,1.180703,19.16256305,2.186275,390.8486976
2.069999,1.18717,19.13752475,2.190434,394.8208512
2.079998,1.193643,19.11247738,2.194587,398.8143408
2.089998,1.200123,19.08742094,2.198738,402.8291664
2.099998,1.206609,19.06235089,2.202886,406.8656328
2.109998,1.213102,19.03727177,2.207029,410.9234352
2.119998,1.219603,19.01217904,2.211169,415.0025736
2.129998,1.226109,18.98707724,2.215306,419.103048
2.139998,1.232623,18.96196636,2.219441,423.225468
2.149998,1.239143,18.93684188,2.223575,427.3689192
2.159998,1.24567,18.91170379,2.227705,431.534316
2.169998,1.252204,18.88655663,2.231835,435.7210488
2.179998,1.258744,18.8614004,2.235961,439.9294224
2.189998,1.265288,18.83623056,2.240088,444.159132
2.199998,1.271833,18.81106525,2.244212,448.4104824
2.209998,1.278379,18.78590902,2.248334,452.6834736
2.219998,1.284925,18.76076186,2.252455,456.9781056
2.229998,1.291473,18.73562377,2.256574,461.2940736
2.239998,1.29802,18.71049022,2.260691,465.6316824
2.249998,1.304569,18.68536574,2.264806,469.990932
2.259998,1.311117,18.66025033,2.268921,474.3715176
2.269998,1.317666,18.63514399,2.273034,478.773744
2.279998,1.324216,18.61004219,2.277147,483.1976112
2.289998,1.330765,18.58495399,2.275814,487.6431192
2.299998,1.337316,18.5598658,2.245692,492.1099632
2.309998,1.343868,18.53479121,2.220661,496.598448
2.319998,1.350424,18.50972116,2.200266,501.1082688
2.329998,1.356983,18.48466472,2.184095,505.6397304
2.339998,1.363544,18.45961281,2.171739,510.1928328
2.349998,1.370108,18.43456998,2.162813,514.767576
2.359998,1.376674,18.40953168,2.156967,519.36396
2.369998,1.383244,18.38450699,2.153864,523.98168
2.379998,1.389816,18.35948683,2.153197,528.6210408
2.389998,1.39639,18.33447575,2.15507,533.2823472
2.399998,1.402968,18.3094692,2.159265,537.9646848
2.409998,1.409548,18.28447626,2.165133,542.668968
2.419998,1.416131,18.25948786,2.172461,547.394892
2.429998,1.422717,18.23450853,2.18105,552.1424568
2.439998,1.429306,18.20953827,2.190718,556.9113576
2.449998,1.435897,18.18457254,2.201313,561.702204
2.459998,1.442492,18.15961589,2.212684,566.5143864
2.469998,1.449089,18.13466831,2.224711,571.3485144
2.479998,1.455689,18.1097298,2.237272,576.2039784
2.489998,1.462291,18.08480037,2.250267,581.081388
2.499998,1.468897,18.05987547,2.263609,585.9801336
2.509998,1.475505,18.03495964,2.277207,590.9008248
2.519998,1.482116,18.01005288,2.291002,595.8431568
2.529998,1.48873,17.98515066,2.304927,600.8071296
2.539998,1.495347,17.96026205,2.318922,605.7927432
2.549998,1.501967,17.93537797,2.332942,610.7999976
2.559998,1.50859,17.91050296,2.346946,615.8288928
2.569998,1.515216,17.88563703,2.360895,620.8794288
2.579998,1.521845,17.86077563,2.374754,625.9519104
2.589998,1.528476,17.83592784,2.388494,631.0460328
2.599998,1.535111,17.81108459,2.402098,636.161796
2.609998,1.541748,17.7862504,2.41554,641.2992
2.619998,1.548389,17.76142076,2.4288,646.4585496
2.629998,1.555032,17.73660472,2.441866,651.63954
2.639998,1.561679,17.71179322,2.454726,656.8421712
2.649998,1.568329,17.68698625,2.467369,662.0664432
2.659998,1.574981,17.66219289,2.479783,667.3126608
2.669998,1.581637,17.63740407,2.491962,672.5805192
2.679998,1.588296,17.61262432,2.503902,677.8703232
2.689998,1.594958,17.58785364,2.5156,683.181768
2.699998,1.601623,17.56309203,2.527049,688.5151584
2.709998,1.608292,17.53833496,2.538249,693.8701896
2.719998,1.614963,17.5135915,2.5492,699.2468616
2.729998,1.621637,17.48884803,2.559897,704.6454792
2.739998,1.628316,17.46411818,2.570347,710.0657376
2.749998,1.634997,17.43939739,2.580545,715.5079416
2.759998,1.641681,17.41468114,2.590493,720.9720912
2.769998,1.648369,17.38997397,2.600196,726.4578816
2.779998,1.65506,17.36527586,2.609653,731.9656176
2.789998,1.661754,17.34058683,2.618868,737.4949944
2.799998,1.668451,17.31590233,2.627844,743.0463168
2.809998,1.675152,17.29122691,2.636584,748.6195848
2.819998,1.681857,17.26656055,2.645088,754.2144936
2.829998,1.688565,17.24190327,2.653365,759.831348
2.839998,1.695276,17.21725053,2.661414,765.470148
2.849998,1.70199,17.19260685,2.66924,771.1305888
2.859998,1.708708,17.16797225,2.676848,776.81328
2.869998,1.71543,17.14334672,2.684239,782.517612
2.879998,1.722155,17.11872573,2.691417,788.2438896
2.889998,1.728884,17.09411381,2.698389,793.991808
2.899998,1.735614,17.06951549,2.705156,799.7619768
2.909998,1.742343,17.04493079,2.711718,805.5540912
2.919998,1.749069,17.02037783,2.718084,811.3678464
2.929998,1.755793,16.99584756,2.724254,817.2032424
2.939998,1.762515,16.9713445,2.730235,823.0608888
2.949998,1.769235,16.94686412,2.73603,828.940176
2.959998,1.775953,16.92241095,2.741643,834.841104
2.969998,1.782668,16.89798047,2.747078,840.7639776
2.979998,1.789382,16.8735772,2.752339,846.7087968
2.989998,1.796093,16.84920114,2.757433,852.6752568
2.999998,1.802802,16.8248523,2.762359,858.6633576
3.009998,1.80951,16.80052161,2.767123,864.673404
3.019998,1.816215,16.77622267,2.77173,870.7050912
3.029998,1.822918,16.7519464,2.776182,876.758724
3.039998,1.829619,16.72770189,2.780483,882.8336928
3.049998,1.836318,16.70347552,2.784639,888.9306072
3.059998,1.843015,16.67927637,2.788648,895.0491624
3.069998,1.84971,16.65510443,2.792518,901.1896632
3.079998,1.856402,16.63095517,2.796247,907.3515
3.089998,1.863093,16.60683313,2.799847,913.5349776
3.099998,1.869782,16.58273377,2.803317,919.7404008
3.109998,1.876469,16.55866616,2.806653,925.96716
3.119998,1.883154,16.53461669,2.809869,932.2158648
3.129997,1.889837,16.51059897,2.812964,938.4859056
3.139997,1.896518,16.48660394,2.815936,944.7775872
3.149997,1.903197,16.46263158,2.818794,951.0909096
3.159997,1.909874,16.43868644,2.82154,957.4258728
3.169997,1.916549,16.41476851,2.824171,963.7824768
