Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP_m,CP (0 to 4 deg),Reynolds Number
17.6,0,0.116187508,0.116187508,0.113930373,0.116187508,0.113930373,0,0,0,0,6.41832961,44.57681588,1.132251123,44.03615048,761567700
17.61,0,0.116179264,0.116179264,0.113924589,0.116179264,0.113924589,0,0,0,0,6.416342757,44.57256423,1.132143131,44.03263046,762000400
17.62,0,0.11617103,0.11617103,0.11391881,0.11617103,0.11391881,0,0,0,0,6.414359022,44.56832067,1.132035345,44.02911729,762433100
17.63,0,0.116162805,0.116162805,0.113913037,0.116162805,0.113913037,0,0,0,0,6.412378102,44.56407772,1.131927574,44.0256049,762865700
17.64,0,0.116154588,0.116154588,0.113907269,0.116154588,0.113907269,0,0,0,0,6.410398297,44.55983076,1.131819701,44.02208941,763298500
17.65,0,0.116146382,0.116146382,0.113901507,0.116146382,0.113901507,0,0,0,0,6.408421717,44.55558847,1.131711947,44.01857802,763731200
17.66,0,0.116138193,0.116138193,0.113895758,0.116138193,0.113895758,0,0,0,0,6.406447608,44.55134983,1.131604286,44.01506983,764163900
17.67,0,0.116130013,0.116130013,0.113890015,0.116130013,0.113890015,0,0,0,0,6.404475102,44.547101,1.131496365,44.0115536,764596600
17.68,0,0.116121843,0.116121843,0.113884277,0.116121843,0.113884277,0,0,0,0,6.402506558,44.54287121,1.131388929,44.00805313,765029400
17.69,0,0.116113682,0.116113682,0.113878544,0.116113682,0.113878544,0,0,0,0,6.400538531,44.53863137,1.131281237,44.00454464,765462100
17.7,0,0.116105538,0.116105538,0.113872824,0.116105538,0.113872824,0,0,0,0,6.398574074,44.53439262,1.131173573,44.00103739,765894800
17.71,0,0.116097395,0.116097395,0.113867101,0.116097395,0.113867101,0,0,0,0,6.396611116,44.53015167,1.131065852,43.99752854,766327400
17.72,0,0.11608927,0.11608927,0.113861393,0.11608927,0.113861393,0,0,0,0,6.394651174,44.5259192,1.130958348,43.99402685,766760100
17.73,0,0.116081154,0.116081154,0.113855689,0.116081154,0.113855689,0,0,0,0,6.392692888,44.52167978,1.130850666,43.99051974,767192800
17.74,0,0.116073047,0.116073047,0.113849991,0.116073047,0.113849991,0,0,0,0,6.390738166,44.5174523,1.130743288,43.98702262,767625600
17.75,0,0.116064949,0.116064949,0.113844298,0.116064949,0.113844298,0,0,0,0,6.388784939,44.51322025,1.130635794,43.983522,768058300
17.76,0,0.116056869,0.116056869,0.113838618,0.116056869,0.113838618,0,0,0,0,6.386834574,44.50898538,1.130528229,43.98001939,768491000
17.77,0,0.116048798,0.116048798,0.113832944,0.116048798,0.113832944,0,0,0,0,6.38488577,44.50475909,1.130420881,43.97652391,768923700
17.78,0,0.116040735,0.116040735,0.113827275,0.116040735,0.113827275,0,0,0,0,6.382939608,44.50052676,1.13031338,43.97302383,769356500
17.79,0,0.116032683,0.116032683,0.113821611,0.116032683,0.113821611,0,0,0,0,6.380996214,44.49630344,1.130206107,43.96953131,769789200
17.8,0,0.116024639,0.116024639,0.113815953,0.116024639,0.113815953,0,0,0,0,6.379055111,44.49207632,1.130098739,43.96603597,770221800
17.81,0,0.116016604,0.116016604,0.113810299,0.116016604,0.113810299,0,0,0,0,6.377116055,44.48784788,1.129991336,43.9625398,770654500
17.82,0,0.116008587,0.116008587,0.113804659,0.116008587,0.113804659,0,0,0,0,6.375179404,44.48362686,1.129884122,43.95904987,771087200
17.83,0,0.116000579,0.116000579,0.113799025,0.116000579,0.113799025,0,0,0,0,6.37324445,44.47939831,1.129776717,43.95555408,771519900
17.84,0,0.11599258,0.11599258,0.113793395,0.11599258,0.113793395,0,0,0,0,6.371313191,44.47517713,1.129669499,43.95206461,771952700
17.85,0,0.115984588,0.115984588,0.11378777,0.115984588,0.11378777,0,0,0,0,6.369383475,44.4709594,1.129562369,43.94857811,772385400
17.86,0,0.115976607,0.115976607,0.113782151,0.115976607,0.113782151,0,0,0,0,6.367456512,44.4667391,1.129455173,43.94508982,772818100
17.87,0,0.115968643,0.115968643,0.113776545,0.115968643,0.113776545,0,0,0,0,6.36553074,44.46251602,1.129347907,43.94159947,773250800
17.88,0,0.115960678,0.115960678,0.113770935,0.115960678,0.113770935,0,0,0,0,6.363608069,44.45829661,1.129240734,43.93811239,773683500
17.89,0,0.115952732,0.115952732,0.113765339,0.115952732,0.113765339,0,0,0,0,6.361687737,44.45408446,1.129133745,43.93463142,774116200
17.9,0,0.115944793,0.115944793,0.113759748,0.115944793,0.113759748,0,0,0,0,6.359769094,44.4498648,1.129026566,43.93114462,774548900
17.91,0,0.115936875,0.115936875,0.113754173,0.115936875,0.113754173,0,0,0,0,6.357854088,44.4456532,1.128919591,43.92766467,774981600
17.92,0,0.115928954,0.115928954,0.113748591,0.115928954,0.113748591,0,0,0,0,6.35593963,44.441434,1.128812424,43.92417871,775414300
17.93,0,0.115921053,0.115921053,0.113743025,0.115921053,0.113743025,0,0,0,0,6.354028705,44.43722238,1.128705448,43.92069923,775847000
17.94,0,0.115913148,0.115913148,0.113737453,0.115913148,0.113737453,0,0,0,0,6.352119566,44.43300917,1.128598433,43.91721868,776279800
17.95,0,0.115905264,0.115905264,0.113731897,0.115905264,0.113731897,0,0,0,0,6.350213011,44.42880361,1.128491612,43.91374458,776712500
17.96,0,0.115897387,0.115897387,0.113726344,0.115897387,0.113726344,0,0,0,0,6.348308897,44.42459579,1.128384733,43.91026893,777145200
17.97,0,0.115889529,0.115889529,0.113720806,0.115889529,0.113720806,0,0,0,0,6.346406416,44.42038484,1.128277775,43.90679097,777577900
17.98,0,0.11588167,0.11588167,0.113715265,0.11588167,0.113715265,0,0,0,0,6.344506474,44.41617452,1.128170833,43.90331379,778010600
17.99,0,0.115873828,0.115873828,0.113709736,0.115873828,0.113709736,0,0,0,0,6.342608053,44.4119645,1.128063898,43.89983705,778443300
18,0,0.115865996,0.115865996,0.113704213,0.115865996,0.113704213,0,0,0,0,6.340713369,44.40776219,1.12795716,43.89636691,778876000
18.01,0,0.115858171,0.115858171,0.113698694,0.115858171,0.113698694,0,0,0,0,6.338820213,44.4035634,1.12785051,43.8928998,779308700
18.02,0,0.115850355,0.115850355,0.113693181,0.115850355,0.113693181,0,0,0,0,6.336928484,44.3993568,1.127743663,43.88942659,779741400
18.03,0,0.115842548,0.115842548,0.113687672,0.115842548,0.113687672,0,0,0,0,6.335040588,44.3951584,1.127637023,43.88596038,780174100
18.04,0,0.115834758,0.115834758,0.113682177,0.115834758,0.113682177,0,0,0,0,6.333154119,44.39095764,1.127530324,43.88249246,780606900
18.05,0,0.115826968,0.115826968,0.113676678,0.115826968,0.113676678,0,0,0,0,6.331269223,44.38675437,1.127423561,43.87902272,781039600
18.06,0,0.115819196,0.115819196,0.113671193,0.115819196,0.113671193,0,0,0,0,6.329386657,44.38255385,1.127316868,43.87555546,781472300
18.07,0,0.115811432,0.115811432,0.113665713,0.115811432,0.113665713,0,0,0,0,6.327506955,44.37835324,1.127210172,43.87208845,781905000
18.08,0,0.115803675,0.115803675,0.113660236,0.115803675,0.113660236,0,0,0,0,6.325629641,44.37416162,1.127103705,43.86862896,782337700
18.09,0,0.115795937,0.115795937,0.113654775,0.115795937,0.113654775,0,0,0,0,6.323755038,44.36996706,1.126997163,43.86516739,782770400
18.1,0,0.115788208,0.115788208,0.113649318,0.115788208,0.113649318,0,0,0,0,6.321880712,44.36577059,1.126890573,43.86170438,783203100
18.11,0,0.115780478,0.115780478,0.113643858,0.115780478,0.113643858,0,0,0,0,6.320010095,44.36157599,1.12678403,43.85824327,783635800
18.12,0,0.115772765,0.115772765,0.113638411,0.115772765,0.113638411,0,0,0,0,6.318141303,44.35738851,1.126677668,43.85478812,784068500
18.13,0,0.115765061,0.115765061,0.113632968,0.115765061,0.113632968,0,0,0,0,6.316274776,44.3531982,1.126571234,43.85133095,784501200
18.14,0,0.115757365,0.115757365,0.113627531,0.115757365,0.113627531,0,0,0,0,6.314410724,44.34901056,1.126464868,43.84787623,784933900
18.15,0,0.115749685,0.115749685,0.113622106,0.115749685,0.113622106,0,0,0,0,6.312548135,44.34481696,1.126358351,43.8444169,785366700
18.16,0,0.115742006,0.115742006,0.113616678,0.115742006,0.113616678,0,0,0,0,6.310688167,44.34063364,1.126252095,43.84096614,785799400
18.17,0,0.115734344,0.115734344,0.113611263,0.115734344,0.113611263,0,0,0,0,6.30882956,44.33644087,1.126145598,43.83750796,786232100
18.18,0,0.11572669,0.11572669,0.113605854,0.11572669,0.113605854,0,0,0,0,6.306974855,44.33226003,1.126039405,43.8340598,786664800
18.19,0,0.115719045,0.115719045,0.113600449,0.115719045,0.113600449,0,0,0,0,6.305121418,44.32807609,1.125933133,43.83060933,787097500
18.2,0,0.115711407,0.115711407,0.113595049,0.115711407,0.113595049,0,0,0,0,6.303269489,44.32389032,1.125826814,43.82715759,787530200
18.21,0,0.115703788,0.115703788,0.113589663,0.115703788,0.113589663,0,0,0,0,6.301420128,44.31970474,1.1257205,43.8237063,787962900
18.22,0,0.115696176,0.115696176,0.113584281,0.115696176,0.113584281,0,0,0,0,6.299573272,44.31552816,1.125614415,43.82026255,788395600
18.23,0,0.115688563,0.115688563,0.113578895,0.115688563,0.113578895,0,0,0,0,6.297728813,44.31135274,1.12550836,43.81682001,788828300
18.24,0,0.115680969,0.115680969,0.113573523,0.115680969,0.113573523,0,0,0,0,6.295886076,44.30716849,1.12540208,43.81337058,789261000
18.25,0,0.115673382,0.115673382,0.113568155,0.115673382,0.113568155,0,0,0,0,6.294045943,44.30299864,1.125296165,43.80993305,789693800
18.26,0,0.115665812,0.115665812,0.113562801,0.115665812,0.113562801,0,0,0,0,6.292206761,44.29881972,1.125190021,43.80648838,790126500
18.27,0,0.115658241,0.115658241,0.113557443,0.115658241,0.113557443,0,0,0,0,6.290370431,44.29464167,1.125083898,43.80304473,790559200
18.28,0,0.115650688,0.115650688,0.113552099,0.115650688,0.113552099,0,0,0,0,6.288536801,44.2904689,1.12497791,43.79960564,790991900
18.29,0,0.115643133,0.115643133,0.113546749,0.115643133,0.113546749,0,0,0,0,6.286704429,44.2862948,1.124871888,43.79616567,791424600
18.3,0,0.115635596,0.115635596,0.113541414,0.115635596,0.113541414,0,0,0,0,6.284874355,44.28212278,1.124765919,43.79272765,791857300
18.31,0,0.115628076,0.115628076,0.113536093,0.115628076,0.113536093,0,0,0,0,6.283046839,44.27795102,1.124659956,43.78929014,792290000
18.32,0,0.115620555,0.115620555,0.113530767,0.115620555,0.113530767,0,0,0,0,6.281221258,44.27378097,1.124554037,43.78585424,792722700
18.33,0,0.115613042,0.115613042,0.113525445,0.115613042,0.113525445,0,0,0,0,6.279397533,44.26961251,1.124448158,43.78241988,793155400
18.34,0,0.115605547,0.115605547,0.113520138,0.115605547,0.113520138,0,0,0,0,6.277576551,44.26545294,1.124342505,43.77899297,793588200
18.35,0,0.11559806,0.11559806,0.113514835,0.11559806,0.113514835,0,0,0,0,6.275757212,44.26128299,1.124236588,43.77555795,794020900
18.36,0,0.11559058,0.11559058,0.113509537,0.11559058,0.113509537,0,0,0,0,6.273940016,44.2571183,1.124130805,43.77212741,794453600
18.37,0,0.115583108,0.115583108,0.113504242,0.115583108,0.113504242,0,0,0,0,6.272124479,44.25295334,1.124025015,43.76869689,794886300
18.38,0,0.115575645,0.115575645,0.113498954,0.115575645,0.113498954,0,0,0,0,6.270312473,44.24879491,1.123919391,43.765272,795318900
18.39,0,0.115568189,0.115568189,0.113493668,0.115568189,0.113493668,0,0,0,0,6.268500705,44.24462648,1.123813513,43.76183918,795751600
18.4,0,0.11556075,0.11556075,0.113488397,0.11556075,0.113488397,0,0,0,0,6.266692426,44.24046904,1.123707914,43.75841558,796184400
18.41,0,0.115553319,0.115553319,0.11348313,0.115553319,0.11348313,0,0,0,0,6.264884643,44.23630405,1.123602123,43.75498604,796617100
18.42,0,0.115545897,0.115545897,0.113477869,0.115545897,0.113477869,0,0,0,0,6.263080304,44.23214552,1.123496496,43.75156206,797049800
18.43,0,0.115538482,0.115538482,0.113472611,0.115538482,0.113472611,0,0,0,0,6.261277343,44.22798692,1.123390868,43.74813824,797482500
18.44,0,0.115531075,0.115531075,0.113467359,0.115531075,0.113467359,0,0,0,0,6.259477114,44.22383726,1.123285466,43.74472193,797915300
